Symbol,Interval,Time,Open Price,Close Price,High Price,Low Price,Volume
ADAUSDT,1d,2023-04-24 03:00:00,0.3887,0.3835,0.3975,0.38,104338226.4
ADAUSDT,1d,2023-04-25 03:00:00,0.3836,0.3945,0.3954,0.3761,97446645.9
ADAUSDT,1d,2023-04-26 03:00:00,0.3944,0.4014,0.4193,0.3778,189713316.3
ADAUSDT,1d,2023-04-27 03:00:00,0.4014,0.4101,0.4186,0.4008,154240599.8
ADAUSDT,1d,2023-04-28 03:00:00,0.41,0.4043,0.4116,0.3965,76492344.4
ADAUSDT,1d,2023-04-29 03:00:00,0.4044,0.4024,0.4077,0.3991,42315743.6
ADAUSDT,1d,2023-04-30 03:00:00,0.4025,0.3956,0.415,0.3944,75755751.4
ADAUSDT,1d,2023-05-01 03:00:00,0.3957,0.3868,0.3979,0.3801,99050070.7
ADAUSDT,1d,2023-05-02 03:00:00,0.3867,0.3916,0.3947,0.3816,62002108.1
ADAUSDT,1d,2023-05-03 03:00:00,0.3917,0.394,0.3965,0.3784,102351994.9
ADAUSDT,1d,2023-05-04 03:00:00,0.3941,0.3873,0.3964,0.3849,57027491.2
ADAUSDT,1d,2023-05-05 03:00:00,0.3873,0.3942,0.397,0.3812,77772750.3
ADAUSDT,1d,2023-05-06 03:00:00,0.3941,0.3787,0.3968,0.3735,85459030.9
ADAUSDT,1d,2023-05-07 03:00:00,0.3787,0.376,0.3833,0.3737,54439977.1
ADAUSDT,1d,2023-05-08 03:00:00,0.376,0.3653,0.3796,0.3531,137827919.2
ADAUSDT,1d,2023-05-09 03:00:00,0.3653,0.3633,0.3705,0.3599,78130879.7
ADAUSDT,1d,2023-05-10 03:00:00,0.3633,0.3693,0.3729,0.3543,150971765.6
ADAUSDT,1d,2023-05-11 03:00:00,0.3693,0.3598,0.3696,0.3485,98458703.7
ADAUSDT,1d,2023-05-12 03:00:00,0.3598,0.3705,0.371,0.3533,109723018.6
ADAUSDT,1d,2023-05-13 03:00:00,0.3705,0.3646,0.371,0.3622,46531257.4
ADAUSDT,1d,2023-05-14 03:00:00,0.3646,0.3711,0.373,0.3627,41898265.4
ADAUSDT,1d,2023-05-15 03:00:00,0.371,0.3669,0.3758,0.3657,69018210.5
ADAUSDT,1d,2023-05-16 03:00:00,0.3669,0.3682,0.3704,0.3613,66128494.6
ADAUSDT,1d,2023-05-17 03:00:00,0.3683,0.3755,0.3807,0.3645,94403281.2
ADAUSDT,1d,2023-05-18 03:00:00,0.3755,0.3714,0.3803,0.3658,80420401.0
ADAUSDT,1d,2023-05-19 03:00:00,0.3713,0.3681,0.373,0.3658,38723441.7
ADAUSDT,1d,2023-05-20 03:00:00,0.3681,0.3662,0.3683,0.3628,44032296.2
ADAUSDT,1d,2023-05-21 03:00:00,0.3663,0.3602,0.3676,0.3566,39270367.4
ADAUSDT,1d,2023-05-22 03:00:00,0.3602,0.3679,0.3741,0.356,62447190.2
ADAUSDT,1d,2023-05-23 03:00:00,0.3679,0.3704,0.3757,0.3657,47769860.8
ADAUSDT,1d,2023-05-24 03:00:00,0.3704,0.3638,0.3706,0.3602,57618648.9
ADAUSDT,1d,2023-05-25 03:00:00,0.3639,0.3581,0.3648,0.355,50137129.0
ADAUSDT,1d,2023-05-26 03:00:00,0.3582,0.3626,0.3669,0.3535,56982912.1
ADAUSDT,1d,2023-05-27 03:00:00,0.3626,0.3667,0.3674,0.3606,30122750.7
ADAUSDT,1d,2023-05-28 03:00:00,0.3667,0.3828,0.3846,0.3661,80053076.5
ADAUSDT,1d,2023-05-29 03:00:00,0.3828,0.3786,0.3863,0.3756,66769379.2
ADAUSDT,1d,2023-05-30 03:00:00,0.3786,0.3779,0.3834,0.3744,70137418.8
ADAUSDT,1d,2023-05-31 03:00:00,0.3779,0.3744,0.3807,0.37,59998056.8
ADAUSDT,1d,2023-06-01 03:00:00,0.3744,0.3644,0.3758,0.3608,93248479.9
ADAUSDT,1d,2023-06-02 03:00:00,0.3644,0.3782,0.3794,0.3619,71763680.0
ADAUSDT,1d,2023-06-03 03:00:00,0.3782,0.3759,0.3782,0.3729,27741856.8
ADAUSDT,1d,2023-06-04 03:00:00,0.376,0.3773,0.3819,0.3748,41513359.6
ADAUSDT,1d,2023-06-05 03:00:00,0.3773,0.3514,0.3791,0.3467,112815250.3
ADAUSDT,1d,2023-06-06 03:00:00,0.3514,0.3531,0.3569,0.3365,90606305.0
ADAUSDT,1d,2023-06-07 03:00:00,0.353,0.3223,0.3531,0.3177,150728402.3
ADAUSDT,1d,2023-06-08 03:00:00,0.3223,0.3228,0.3308,0.3198,104686899.3
ADAUSDT,1d,2023-06-09 03:00:00,0.3229,0.2951,0.324,0.2902,246384470.8
ADAUSDT,1d,2023-06-10 03:00:00,0.2951,0.2747,0.2953,0.22,757333075.3
ADAUSDT,1d,2023-06-11 03:00:00,0.2748,0.272,0.28,0.259,262186505.2
ADAUSDT,1d,2023-06-12 03:00:00,0.2719,0.2748,0.2865,0.2648,222382051.8
