Symbol,Interval,Time,Open Price,Close Price,High Price,Low Price,Volume
LTCUSDT,1d,2023-04-24 03:00:00,86.74,88.31,89.03,85.86,651422.316
LTCUSDT,1d,2023-04-25 03:00:00,88.32,91.03,91.77,87.18,767570.935
LTCUSDT,1d,2023-04-26 03:00:00,91.03,88.13,93.96,84.21,985517.498
LTCUSDT,1d,2023-04-27 03:00:00,88.14,89.73,90.64,87.26,669510.161
LTCUSDT,1d,2023-04-28 03:00:00,89.73,89.63,90.36,87.66,464509.676
LTCUSDT,1d,2023-04-29 03:00:00,89.62,91.08,91.64,89.23,351205.815
LTCUSDT,1d,2023-04-30 03:00:00,91.08,88.22,91.43,87.76,396494.58
LTCUSDT,1d,2023-05-01 03:00:00,88.24,86.75,88.86,85.13,537906.62
LTCUSDT,1d,2023-05-02 03:00:00,86.76,88.2,89.18,86.0,425254.867
LTCUSDT,1d,2023-05-03 03:00:00,88.2,88.88,89.86,85.4,561552.261
LTCUSDT,1d,2023-05-04 03:00:00,88.88,88.38,89.15,87.39,317092.93
LTCUSDT,1d,2023-05-05 03:00:00,88.39,88.61,89.69,86.16,462767.029
LTCUSDT,1d,2023-05-06 03:00:00,88.62,83.26,89.36,80.56,808799.894
LTCUSDT,1d,2023-05-07 03:00:00,83.27,83.42,84.69,82.93,405461.481
LTCUSDT,1d,2023-05-08 03:00:00,83.41,77.71,85.25,75.2,1093958.201
LTCUSDT,1d,2023-05-09 03:00:00,77.72,79.9,80.1,77.31,652411.76
LTCUSDT,1d,2023-05-10 03:00:00,79.91,80.93,82.04,77.12,862746.998
LTCUSDT,1d,2023-05-11 03:00:00,80.93,80.88,81.97,78.37,787875.496
LTCUSDT,1d,2023-05-12 03:00:00,80.89,80.45,81.48,77.07,770849.129
LTCUSDT,1d,2023-05-13 03:00:00,80.45,80.26,81.09,79.78,378311.771
LTCUSDT,1d,2023-05-14 03:00:00,80.26,83.5,84.02,79.55,475081.378
LTCUSDT,1d,2023-05-15 03:00:00,83.49,86.89,88.5,82.14,1110552.095
LTCUSDT,1d,2023-05-16 03:00:00,86.91,89.99,90.55,86.13,1212427.879
LTCUSDT,1d,2023-05-17 03:00:00,89.99,93.88,95.0,89.59,1631954.238
LTCUSDT,1d,2023-05-18 03:00:00,93.88,90.43,94.21,89.15,778910.547
LTCUSDT,1d,2023-05-19 03:00:00,90.44,91.8,93.31,90.26,674615.432
LTCUSDT,1d,2023-05-20 03:00:00,91.78,92.42,92.78,90.21,331961.718
LTCUSDT,1d,2023-05-21 03:00:00,92.41,92.18,93.49,91.14,434485.442
LTCUSDT,1d,2023-05-22 03:00:00,92.17,90.83,92.79,89.81,462506.227
LTCUSDT,1d,2023-05-23 03:00:00,90.83,91.7,93.11,90.38,437608.283
LTCUSDT,1d,2023-05-24 03:00:00,91.7,85.82,91.89,84.33,1241381.96
LTCUSDT,1d,2023-05-25 03:00:00,85.83,86.57,86.79,82.54,836219.141
LTCUSDT,1d,2023-05-26 03:00:00,86.57,87.08,88.2,86.05,684744.479
LTCUSDT,1d,2023-05-27 03:00:00,87.08,88.55,88.81,86.91,335522.417
LTCUSDT,1d,2023-05-28 03:00:00,88.56,91.45,92.35,88.14,582851.729
LTCUSDT,1d,2023-05-29 03:00:00,91.46,90.86,92.18,90.12,484868.109
LTCUSDT,1d,2023-05-30 03:00:00,90.86,92.25,93.3,90.51,553236.455
LTCUSDT,1d,2023-05-31 03:00:00,92.25,90.42,92.72,87.5,730322.072
LTCUSDT,1d,2023-06-01 03:00:00,90.42,94.19,95.98,89.17,1356811.01
LTCUSDT,1d,2023-06-02 03:00:00,94.17,95.45,95.7,92.58,714015.964
LTCUSDT,1d,2023-06-03 03:00:00,95.45,96.03,97.56,94.15,596590.884
LTCUSDT,1d,2023-06-04 03:00:00,96.03,94.19,96.5,93.8,492464.068
LTCUSDT,1d,2023-06-05 03:00:00,94.19,87.71,94.58,83.56,1320394.36
LTCUSDT,1d,2023-06-06 03:00:00,87.7,90.92,91.47,85.64,836859.771
LTCUSDT,1d,2023-06-07 03:00:00,90.93,88.85,91.31,87.34,691677.146
LTCUSDT,1d,2023-06-08 03:00:00,88.83,88.5,89.53,87.19,405790.611
LTCUSDT,1d,2023-06-09 03:00:00,88.49,89.3,89.98,86.66,437545.529
LTCUSDT,1d,2023-06-10 03:00:00,89.3,77.13,89.34,73.56,1931078.315
LTCUSDT,1d,2023-06-11 03:00:00,77.14,77.68,78.98,76.15,601244.43
LTCUSDT,1d,2023-06-12 03:00:00,77.68,77.5,77.91,75.07,624473.429
