Symbol,Interval,Time,Open Price,Close Price,High Price,Low Price,Volume
LTCUSDT,1h,2023-06-10 00:00:00,89.26,89.25,89.52,88.76,13977.037
LTCUSDT,1h,2023-06-10 01:00:00,89.24,89.18,89.31,88.8,12982.595
LTCUSDT,1h,2023-06-10 02:00:00,89.19,89.3,89.34,88.8,7118.137
LTCUSDT,1h,2023-06-10 03:00:00,89.3,88.52,89.34,88.49,13819.339
LTCUSDT,1h,2023-06-10 04:00:00,88.52,88.17,89.11,87.59,46243.144
LTCUSDT,1h,2023-06-10 05:00:00,88.15,86.96,88.43,86.73,55718.331
LTCUSDT,1h,2023-06-10 06:00:00,86.94,85.23,87.13,84.76,112055.951
LTCUSDT,1h,2023-06-10 07:00:00,85.26,78.56,85.73,73.56,385791.681
LTCUSDT,1h,2023-06-10 08:00:00,78.58,77.18,79.1,76.75,156097.1
LTCUSDT,1h,2023-06-10 09:00:00,77.16,76.2,78.06,75.06,163268.411
LTCUSDT,1h,2023-06-10 10:00:00,76.21,77.14,77.48,75.86,121201.643
LTCUSDT,1h,2023-06-10 11:00:00,77.14,76.85,77.18,76.19,95053.043
LTCUSDT,1h,2023-06-10 12:00:00,76.84,76.42,76.84,75.83,58505.592
LTCUSDT,1h,2023-06-10 13:00:00,76.43,77.43,77.43,76.43,42593.247
LTCUSDT,1h,2023-06-10 14:00:00,77.42,77.43,77.67,76.79,46107.569
LTCUSDT,1h,2023-06-10 15:00:00,77.43,76.56,77.44,76.39,38720.219
LTCUSDT,1h,2023-06-10 16:00:00,76.56,76.88,77.25,76.4,36434.084
LTCUSDT,1h,2023-06-10 17:00:00,76.87,76.83,77.17,76.31,38727.381
LTCUSDT,1h,2023-06-10 18:00:00,76.83,75.98,77.01,75.75,51557.269
LTCUSDT,1h,2023-06-10 19:00:00,75.97,75.22,76.0,75.04,61606.019
LTCUSDT,1h,2023-06-10 20:00:00,75.22,77.72,79.0,74.09,183768.528
LTCUSDT,1h,2023-06-10 21:00:00,77.73,76.01,77.93,75.53,79420.544
LTCUSDT,1h,2023-06-10 22:00:00,76.01,76.78,76.85,75.88,29580.685
LTCUSDT,1h,2023-06-10 23:00:00,76.78,76.94,77.1,76.27,30603.767
LTCUSDT,1h,2023-06-11 00:00:00,76.94,77.03,77.26,76.51,23176.5
LTCUSDT,1h,2023-06-11 01:00:00,77.02,77.63,77.99,76.96,32565.03
LTCUSDT,1h,2023-06-11 02:00:00,77.62,77.13,77.71,77.07,28463.238
LTCUSDT,1h,2023-06-11 03:00:00,77.14,76.71,77.24,76.67,29446.062
LTCUSDT,1h,2023-06-11 04:00:00,76.72,76.96,77.06,76.34,24375.03
LTCUSDT,1h,2023-06-11 05:00:00,76.97,77.06,77.08,76.59,19034.923
LTCUSDT,1h,2023-06-11 06:00:00,77.06,77.19,77.23,76.77,15611.335
LTCUSDT,1h,2023-06-11 07:00:00,77.21,77.01,77.23,76.15,29471.721
LTCUSDT,1h,2023-06-11 08:00:00,77.0,77.42,77.62,76.97,20559.671
LTCUSDT,1h,2023-06-11 09:00:00,77.42,77.43,77.7,77.32,17825.636
