Symbol,Interval,Time,Open Price,Close Price,High Price,Low Price,Volume
ADAUSDT,4h,2023-05-30 03:00:00,0.3786,0.3813,0.3831,0.3777,7464983.8
ADAUSDT,4h,2023-05-30 07:00:00,0.3813,0.3794,0.3819,0.3788,6297528.2
ADAUSDT,4h,2023-05-30 11:00:00,0.3794,0.3819,0.3834,0.3789,11503228.4
ADAUSDT,4h,2023-05-30 15:00:00,0.3819,0.3766,0.382,0.3744,30124534.4
ADAUSDT,4h,2023-05-30 19:00:00,0.3767,0.3787,0.3795,0.3756,9376430.7
ADAUSDT,4h,2023-05-30 23:00:00,0.3788,0.3779,0.379,0.3765,5370713.3
ADAUSDT,4h,2023-05-31 03:00:00,0.3779,0.3792,0.3807,0.3762,7483895.0
ADAUSDT,4h,2023-05-31 07:00:00,0.3792,0.3757,0.3805,0.3724,13918921.5
ADAUSDT,4h,2023-05-31 11:00:00,0.3757,0.3732,0.376,0.3725,7652964.3
ADAUSDT,4h,2023-05-31 15:00:00,0.3733,0.3719,0.3755,0.371,8602261.9
ADAUSDT,4h,2023-05-31 19:00:00,0.3718,0.3757,0.3759,0.37,14024338.4
ADAUSDT,4h,2023-05-31 23:00:00,0.3757,0.3744,0.3772,0.3731,8315675.7
ADAUSDT,4h,2023-06-01 03:00:00,0.3744,0.3651,0.3758,0.3629,23391236.0
ADAUSDT,4h,2023-06-01 07:00:00,0.3652,0.3635,0.3656,0.3633,12481133.4
ADAUSDT,4h,2023-06-01 11:00:00,0.3635,0.3634,0.3658,0.3608,29434184.1
ADAUSDT,4h,2023-06-01 15:00:00,0.3633,0.3643,0.3652,0.3623,8069273.4
ADAUSDT,4h,2023-06-01 19:00:00,0.3644,0.3656,0.367,0.3629,13404588.4
ADAUSDT,4h,2023-06-01 23:00:00,0.3657,0.3644,0.3672,0.3633,6468064.6
ADAUSDT,4h,2023-06-02 03:00:00,0.3644,0.372,0.3747,0.3619,17683900.2
ADAUSDT,4h,2023-06-02 07:00:00,0.3721,0.3719,0.3735,0.3708,8029524.9
ADAUSDT,4h,2023-06-02 11:00:00,0.3719,0.3753,0.3779,0.3719,18151754.1
ADAUSDT,4h,2023-06-02 15:00:00,0.3753,0.3751,0.3777,0.3725,13751528.4
ADAUSDT,4h,2023-06-02 19:00:00,0.3752,0.3786,0.3794,0.3743,9224824.9
ADAUSDT,4h,2023-06-02 23:00:00,0.3786,0.3782,0.3792,0.3768,4922147.5
ADAUSDT,4h,2023-06-03 03:00:00,0.3782,0.3767,0.3782,0.3749,4717316.3
ADAUSDT,4h,2023-06-03 07:00:00,0.3767,0.3764,0.3782,0.3761,3862410.8
ADAUSDT,4h,2023-06-03 11:00:00,0.3765,0.3759,0.377,0.3751,5596722.4
ADAUSDT,4h,2023-06-03 15:00:00,0.3759,0.3774,0.3774,0.3751,3853828.5
