Symbol,Interval,Time,Open Price,Close Price,High Price,Low Price,Volume
ETHUSDT,4h,2023-05-30 03:00:00,1892.6,1900.66,1912.55,1881.19,39822.0842
ETHUSDT,4h,2023-05-30 07:00:00,1900.67,1898.23,1905.0,1892.72,33934.6206
ETHUSDT,4h,2023-05-30 11:00:00,1898.22,1915.4,1917.0,1898.22,46926.7615
ETHUSDT,4h,2023-05-30 15:00:00,1915.4,1900.56,1915.7,1894.11,72165.522
ETHUSDT,4h,2023-05-30 19:00:00,1900.56,1907.32,1912.64,1891.33,47369.5726
ETHUSDT,4h,2023-05-30 23:00:00,1907.33,1900.59,1914.78,1897.35,32447.2793
ETHUSDT,4h,2023-05-31 03:00:00,1900.58,1897.71,1907.13,1884.29,36406.3048
ETHUSDT,4h,2023-05-31 07:00:00,1897.71,1869.31,1898.53,1857.67,105784.1267
ETHUSDT,4h,2023-05-31 11:00:00,1869.3,1865.19,1873.46,1862.2,38102.037
ETHUSDT,4h,2023-05-31 15:00:00,1865.2,1857.94,1875.02,1846.95,74464.889
ETHUSDT,4h,2023-05-31 19:00:00,1857.95,1863.63,1869.75,1854.28,37383.4737
ETHUSDT,4h,2023-05-31 23:00:00,1863.63,1873.63,1878.14,1861.48,27114.7369
ETHUSDT,4h,2023-06-01 03:00:00,1873.63,1855.5,1889.2,1840.0,85904.402
ETHUSDT,4h,2023-06-01 07:00:00,1855.5,1854.21,1860.38,1851.4,29030.7844
ETHUSDT,4h,2023-06-01 11:00:00,1854.22,1861.5,1865.96,1852.02,24114.6889
ETHUSDT,4h,2023-06-01 15:00:00,1861.5,1863.36,1866.56,1855.68,39559.3433
ETHUSDT,4h,2023-06-01 19:00:00,1863.36,1869.27,1882.86,1857.02,60378.5131
ETHUSDT,4h,2023-06-01 23:00:00,1869.28,1861.78,1873.6,1852.66,31508.878
ETHUSDT,4h,2023-06-02 03:00:00,1861.78,1878.64,1880.62,1847.51,54178.4897
ETHUSDT,4h,2023-06-02 07:00:00,1878.64,1885.65,1897.4,1875.68,60738.6282
ETHUSDT,4h,2023-06-02 11:00:00,1885.64,1894.96,1900.64,1885.64,44493.7855
ETHUSDT,4h,2023-06-02 15:00:00,1894.95,1892.0,1899.0,1876.65,72235.5705
ETHUSDT,4h,2023-06-02 19:00:00,1892.01,1907.6,1910.0,1887.05,57041.4152
